SYLLABARY,PRONUNCIATION,ACTOR,ACTEE,SET,IMP FORM SYLLABARY,IMP FORM ROMAN
Ꮥ³Ꮳ̣²Ꮣ²[Ꮣ͓]-,De³jạ²da²[d]-,You all,each other,,Ꮧ̣²Ꮳ̣²Ꮣ²-,Dị²jạ²da²[d]-
Ꭱ¹Ꮵ²-,E¹ji²-,You all,him,,,
Ꭲ¹Ꮵ²-,I¹ji²-,You all,it,,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You all,me,,,
Ꭸ²Ꮵ²-,Ge²ji²-,You all,them-animate,,,
Ꮥ³Ꮵ̣²-,De³ji²-,You all,them-inanimate,,Ꮧ̣²Ꮵ̣²-,Dị²ji²-
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You all,"us, him and me",,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You all,"us, them and me",,,
Ꭲ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-,I¹jạ²da²[d]-,You all,yourselves,,,
Ꮥ³Ꭶ̣²Ꮣ²[Ꮣ͓]-,De³gạ²da²[d]-,"You all and I, we",each other,b,Ꮧ̣²Ꭶ̣²Ꮣ²-,Dị²gạ²da²[d]-
Ꮥ³Ꮣ̣²Ꮣ²[Ꮣ͓]-,De³dạ²da²[d]-,"You all and I, we",each other,a,Ꮧ̣²Ꮣ̣²Ꮣ²-,Dị²dạ²da²[d]-
Ꭱ¹Ꮧ²-,E¹di²-,"You all and I, we",him,,,
Ꭲ¹Ꭹ²-,I¹gi²-,"You all and I, we",it,b,,
Ꭲ¹Ꮧ²-,I¹di²-,"You all and I, we",it,a,,
Ꭲ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-,I¹gạ²da²[d]-,"You all and I, we",ourselves,b,,
Ꭲ¹Ꮣ̣²Ꮣ²[Ꮣ͓]-,I¹dạ²da²[d]-,"You all and I, we",ourselves,a,,
Ꭸ²Ꮧ̣²-,Ge²di²-,"You all and I, we",them-animate,,,
Ꮥ³Ꭹ²-,De³gi²-,"You all and I, we",them-inanimate,b,Ꮧ̣²Ꭹ²-,Dị²gi²-
Ꮥ³Ꮧ̣²-,De³di²-,"You all and I, we",them-inanimate,a,Ꮧ̣²Ꮧ̣²-,Dị²di²-
"Ꭿ²-, Ꭿ²Ꮿ͓-","Hi²-, Hi²y-",You one,him,,,
Ꭿ̣²-,Hị²-,You one,it,a,,
Ꮳ̣²-,Jạ²-,You one,it,b,,
"ᏍᎩ̣²-, ᏍᏆ͓-","Sgị²-, Sgw-",You one,me,,,
"Ꭶ̣²Ꭿ²-, Ꭶ̣²Ꭿ²Ꮿ͓-","Gạ²hi²-, Gạ²hi²y-",You one,them-animate,,,
Ꮥ²Ꭿ̣²-,De²hị²-,You one,them-inanimate,a,Ꮨ̣²-,tị²-
Ꮥ²Ꮳ̣²-,De²jạ²-,You one,them-inanimate,b,Ꮧ̣²Ꮳ̣²-,Dị²jạ²-
ᏍᎩ̣²Ꮒ²-,Sgị²ni²-,You one,"us, him and me",,,
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You one,"us, them and me",,,
Ꭽ̣²Ꮣ²[Ꮣ͓]-,Hạ²da²[d]-,You one,yourself,a,,
Ꮳ̣²Ꮣ²[Ꮣ͓]-,Jạ²da²[d]-,You one,yourself,b,,
Ꮥ²Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-,De²gị²nạ²da²[d]-,"You one and I, we",each other,b,Ꮧ̣²Ꭹ̣²Ꮎ̣²Ꮣ²-,Dị²gị²nạ²da²[d]-
