SYLLABARY,PRONUNCIATION,ACTOR,ACTEE,SET,IMP FORM SYLLABARY,IMP FORM ROMAN
"Ꭲ¹ᏍᎩ²-, Ꭲ¹ᏍᎩ²Ꮿ͓-","I¹sgi²-, I¹sgi²y-",You two,"us, them and me",,,
Ꭲ¹Ꭹ²-,I¹gi²-,He,"us, you all and me",,,
Ꭸ²Ꭹ²-,Ge²gi²-,They,"us, you all and me",,,
Ꭹ̣²Ꮒ²-,Gị²ni²-,He,"us, you one and me",,,
Ꭸ²Ꭹ̣²Ꮒ²-,Ge²gị²ni²-,They,"us, you one and me",,,
Ꭲ¹Ꮵ²-,I¹ji²-,He,you all,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-","He and I, we",you all,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-",I,you all,,,
Ꭸ²Ꮵ²-,Ge²ji²-,They,you all,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-","They and I, we",you all,,,
Ꭱ¹Ꮵ²-,E¹ji²-,,You all,,,
Ꭱ¹Ꭹ²-,E¹gi²-,,"You all and I, we",,,
Ꮳ̣²-,Jạ²-,He,you one,,,
"ᏍᏛ²-, ᏍᏛ²Ꮿ͓-","Sdv²-, Sdv²y-","He and I, we",you one,,,
"Ꭼ²-, Ꭼ²Ꮿ͓-","Gv²-, Gv²y-",I,you one,,,
Ꭸ²Ꮳ̣²-,Ge²jạ²-,They,you one,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-","They and I, we",you one,,,
Ꭱ¹Ꮳ̣²-,E¹jạ²-,,You one,,,
Ꭱ¹Ꭹ̣²Ꮒ²-,E¹gị²ni²-,,"You one and I, we",,,
ᏍᏗ²-,Sdi²-,He,you two,,,
"ᏍᏛ²-, ᏍᏛ²Ꮿ͓-","Sdv²-, Sdv²y-","He and I, we",you two,,,
"ᏍᏛ²-, ᏍᏛ²Ꮿ͓-","Sdv²-, Sdv²y-",I,you two,,,
Ꭸ²ᏍᏗ²-,Ge²sdi²-,They,you two,,,
"Ꭲ¹Ꮸ²-, Ꭲ¹Ꮸ²Ꮿ͓-","I¹jv²-, I¹jv²y-","They and I, we",you two,,,
Ꭱ¹ᏍᏗ²-,E¹sdi²-,,You two,,,
Ꭽ̣²Ꮣ²[Ꮣ͓]-,Hạ²da²[d]-,You one,yourself,a,,
Ꮳ̣²Ꮣ²[Ꮣ͓]-,Jạ²da²[d]-,You one,yourself,b,,
Ꭲ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-,I¹jạ²da²[d]-,You all,yourselves,,,
ᏍᏓ̣²Ꮣ²[Ꮣ͓]-,Sdạ²da²[d]-,You two,yourselves,,,
